"census_tract","smoke_alarm_risk","tract_pop","blocks_per_tract"
"06075012",0.560207197412638,2879,35
"06075013",0.540008699190165,1659,21
"06075015",0.559238354902428,2520,29
"06075016",0.526450560576552,2714,33
"06075017",0.506502147602453,1775,21
"06075018",0.432267507828119,349,2
"06075020",0.547672113300068,2593,33
"06075021",0.517062228870109,2440,30
"06075022",0.537514126505026,2506,22
"06075023",0.518251775475471,1920,15
"06075025",0.543554124246846,3745,40
"06075026",0.510463355479567,4771,34
"06075030",0.551982464757491,3904,46
"06075031",0.501258307298241,2223,25
"06075032",0.565945970119852,2065,26
"06075033",0.530504972952229,1603,16
"06075035",0.513406253476772,1989,26
"06075040",0.606447830497382,555,8
"06075042",0.624010431683678,1122,11
"06075045",0.618427596918735,592,8
"06075047",0.621448090213336,2016,24
"06075060",0.44936263348716,1096,8
"06075061",0.495933671249624,1680,16
"06075980",0.478355421475046,201,6
"06081600",0.464544243012273,3130,29
"06081601",0.484575004318173,5754,46
"06081602",0.51017074539422,3691,33
"06081603",0.486827505668528,2920,28
"06081604",0.52693714511393,3222,25
"06081605",0.504441107484292,3416,37
"06081606",0.525007431592332,3037,29
"06081607",0.507073206985229,3383,28
"06081608",0.494904195157363,5035,43
"06081609",0.439864607107391,4019,28
"06081610",0.578202574722066,4835,39
"06081611",0.458704823062552,3782,33
"06081612",0.49123309660539,2268,24
"06081613",0.449274712006466,3397,36
"06081614",0.438055077882294,468,3
"06081984",0.479555026595274,0,1
"06081990",0.479555026595274,0,1
"06085500",0.493117386571118,2877,26
"06085501",0.550733490530902,3865,41
"06085502",0.537469819318413,8276,82
"06085503",0.602351910620976,NA,184
"06085504",0.600625572678133,16429,112
"06085505",0.546971395799424,NA,68
"06085506",0.547138204969793,10381,98
"06085507",0.567844666510895,8749,74
"06085508",0.582381153747852,8931,81
"06085509",0.519711632338749,6830,64
"06085510",0.574732801955795,4515,41
"06085511",0.537117304336471,NA,68
"06085512",0.559697158354237,17390,132
"06085513",0.49750765221284,943,4
"06113010",0.378621500956696,9721,84
"06113011",0.486206179781587,4164,38
"08001007",0.687755224785674,963,9
"08001008",0.437472231524631,NA,126
"08001009",0.54898995660652,12464,115
"08001015",0.35412488354103,219,2
"08001060",0.225246270957714,991,6
"08001061",0.157565842585725,127,1
"08001988",0.459084370448581,0,1
"08005004",0.461344507627734,248,3
"08005005",0.41385179986001,8618,70
"08005006",0.376305472798921,7910,76
"08005007",0.502183681354894,5092,45
"08005015",0.562274934549862,298,2
"08005080",0.398031971709961,3133,29
"08005081",0.448140641547379,3127,32
"08005082",0.397233323095344,2891,30
"08005083",0.276730491045399,2956,30
"08005084",0.311507937137316,3187,28
"08005085",0.213607202968533,3006,22
"08005086",0.237071690444412,3166,28
"08005087",0.428346149038781,899,13
"08013012",0.336365937768455,NA,97
"08013013",0.385076415661985,9967,87
"08013060",0.27483092210998,1266,13
"08013061",0.178135988120679,591,3
"08014030",0.295703159677772,3067,28
"08014031",0.219570871911208,1183,15
"08014980",0.459084370448581,0,3
"08031000",0.614033610675042,5205,72
"08031001",0.570897242844318,3740,47
"08031002",0.438824363777382,3735,47
"08031003",0.471704204628471,6600,72
"08031004",0.545698799942576,10295,111
"08031005",0.482960194624977,2387,23
"08031006",0.395759388478301,2365,32
"08031007",0.421030335218131,1264,15
"08031008",0.564732291050716,3438,27
"08031011",0.538029506061454,584,6
"08031012",0.250616028129835,896,9
"08031015",0.576971910172408,1473,18
"08031980",0.430155747272887,123,2
"08035013",0.254110058081028,3026,28
"08035014",0.169641352329955,17423,127
"08047013",0.430599231595363,381,4
"08059009",0.335540668061351,10656,84
"08059010",0.472570695757622,9236,95
"08059011",0.429685878052949,10807,108
"08059012",0.3545747611749,11751,106
"08059015",0.440324083793142,794,5
"08059060",0.257364499953696,1014,10
"08059980",0.459084370448581,0,2
"13035150",0.640690245397041,1665,14
"13057090",0.557538704750536,8501,55
"13057091",0.490032622716018,3308,30
"13063040",0.470284960999524,13959,125
"13063980",0.693095540761902,0,1
"13067030",0.555008571498751,NA,225
"13067031",0.5465686041764,13145,125
"13089020",0.531756777402068,2368,24
"13089021",0.575159295078961,16100,154
"13089022",0.529718351743946,6383,57
"13089023",0.457135529620609,17235,154
"13089980",0.693095540761902,0,1
"13097080",0.575503695103158,7013,55
"13113140",0.552875189725246,7792,49
"13117130",0.495581625607656,11852,108
"13121000",0.584679087111144,1969,17
"13121001",0.521595783724791,3448,27
"13121002",0.416920621930668,1233,12
"13121003",0.492203303264708,1551,12
"13121004",0.459214679463378,1242,14
"13121005",0.490817783318016,1477,12
"13121006",0.500057102204975,2294,28
"13121007",0.441399458213099,4654,54
"13121008",0.492565031520007,NA,47
"13121009",0.515753521688615,4424,52
"13121010",0.489706325719344,12251,116
"13121011",0.487389481326427,15870,147
"13121012",0.47450875328771,405,5
"13121980",0.693095540761902,0,1
"13135050",0.573100188683383,42035,313
"13151070",0.558387959426387,9885,63
"13217100",0.565728431910235,5559,34
"13223120",0.565776932246104,7172,46
"13247060",0.543006094500383,5178,46
"13297110",0.561178081928381,5294,38
"17027900",0.389530093454281,5837,31
"17119400",0.426042155550824,3110,38
"17119401",0.41827822634136,4107,42
"17119402",0.417185660334551,4557,42
"17119403",0.315653192592511,9688,67
"17119404",0.550441840730444,616,6
"17133600",0.29548012901491,2593,15
"17163500",0.609228639063776,610,9
"17163501",0.48591393461345,3179,49
"17163502",0.512454581820095,2562,34
"17163503",0.300883600854154,7581,71
"17163504",0.352477790505023,5064,36
"18011810",0.355868509183663,5100,37
"18029080",0.416518789738177,4080,34
"18057110",0.263756914908908,13831,84
"18057111",0.249927950454052,3192,21
"18059410",0.340133719504179,4169,34
"18059411",0.277702943499684,689,3
"18063210",0.29500481666226,8984,58
"18063211",0.427394669655251,1167,7
"18081610",0.311169102019845,7161,56
"18081611",0.386647617522598,2587,18
"18097310",0.428894199440628,4718,43
"18097320",0.397530314447245,6007,47
"18097321",0.410864869800272,3491,34
"18097322",0.471149745015716,1768,23
"18097330",0.387708294097703,6110,63
"18097331",0.557099749345133,378,5
"18097340",0.464806497537246,5151,52
"18097341",0.526742091461934,1811,20
"18097342",0.446965949148094,2115,21
"18097350",0.598710490967361,1441,22
"18097351",0.564850229092971,1259,16
"18097352",0.546872632502617,1419,20
"18097353",0.514394729386749,614,9
"18097354",0.488229422039386,1319,13
"18097355",0.500876935998848,1828,22
"18097356",0.662238377809522,897,9
"18097357",0.481988123797539,2402,32
"18097358",0.55606964914773,327,5
"18097360",0.475025757582589,4538,45
"18097361",0.425212945059603,1944,19
"18097370",0.344265632951612,1551,13
"18097380",0.38158590352283,4384,41
"18097381",0.392717681387165,2973,23
"18097390",0.330951388955798,4410,32
"18097391",0.313253211313503,405,3
"18109510",0.352982415975514,5005,40
"18109511",0.424859370828912,719,5
"18145710",0.439225938989733,3614,35
"20091050",0.563326320420132,3863,43
"20091051",0.566916378087949,6761,75
"20091052",0.449479085390813,13333,109
"20091053",0.365775830667754,19319,144
"20091980",0.529628172231662,0,3
"20209040",0.636122595187376,1085,19
